time,rss,heapTotal,heapUsed
1,67.2265625,47.11328125,22.070510864257812
2,88.1015625,53.7265625,32.777427673339844
3,89.4765625,55.66015625,29.5782470703125
4,87.16796875,51.6796875,26.50316619873047
5,90.19921875,55.0859375,29.674835205078125
6,90.15234375,55.3359375,29.41663360595703
7,92.16015625,56.94921875,23.8443603515625
8,92.75,57.19921875,35.86492919921875
9,92.82421875,57.11328125,25.204879760742188
10,93.7109375,58.11328125,27.498367309570312
11,91.95703125,54.11328125,25.81409454345703
12,93.9375,57.61328125,25.45977020263672
13,90.640625,54.61328125,26.002883911132812
14,92.546875,56.11328125,30.202064514160156
15,95.53515625,58.73828125,29.171951293945312
